Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Emotion
8239,"Really, it’s fine, whatever you want.",Ross,neutral,866,6,4,23,"00:19:56,195","00:19:59,447",neutral
8757,Oh. Ew! Ew! Ew! Ugh! Y’know what? This is too weird.,Phoebe,negative,921,4,8,7,"00:17:13,657","00:17:18,745",disgust
7284,Okay!,Rachel,positive,772,9,6,15,"00:20:59,216","00:21:00,716",joy
2965,"Noo!! I don’t care! I’m not, I’m not gonna playing one-on-one strip poker with you for practice!",Chandler,negative,312,17,3,25,"00:17:25,669","00:17:31,799",anger
2539,"Um, it’s going to be a small ceremony.",Chandler,neutral,267,0,7,3,"00:12:07,935","00:12:11,187",neutral
13067,"Okay, how long was I watching that woman?",Joey,neutral,208,10,8,24,"00:19:26,695","00:19:29,281",neutral
5876,Hey,Joey,neutral,623,6,4,22,"0:12:13,442","0:12:13,934",neutral
1779,"Wait, just a second.",Gary,neutral,186,4,5,21,"0:20:12,980","0:20:13,729",neutral
3554,I mean we should get free stuff too!,Monica,negative,374,8,8,3,"0:15:44,736","0:15:46,293",anger
2565,I,Phoebe,neutral,272,6,6,1,"00:14:50,139","00:14:51,890",neutral
9994,"Now, there’s two reasons.",Chandler,neutral,1,3,4,4,"00:12:38,466","00:12:39,841",neutral
8577,Speech! Come on Monica!,Mrs. Geller,positive,902,12,7,14,"0:15:04,194","0:15:05,416",joy
9537,So what are you saying? It’s now or never?,Emily,negative,996,13,4,23,"0:11:42,827","0:11:44,709",anger
3265,Very funny Ross!,Joey,positive,344,0,5,17,"00:02:13,550","00:02:15,425",joy
2378,Yes indeedy!  With a beautiful view of...,Chandler,positive,250,3,1,15,"00:15:14,496","00:15:20,335",joy
9573,"And, they made me head of purchasing, thank you very much.",Monica,positive,1001,6,2,5,"00:05:14,897","00:05:17,735",joy
6653,Oh damnit!,Ben,negative,695,0,7,16,"00:09:15,888","00:09:18,014",disgust
11608,"Yeah, that’s our baby.",Ross,positive,56,11,8,3,"0:21:08,396","0:21:08,907",joy
8338,"Oh. Oh, did-did-did I wake you?",Chandler,negative,876,2,4,20,"00:00:42,959","00:00:45,044",surprise
11137,Hi.,Chandler,neutral,5,1,4,20,"0:14:48,095","0:14:48,947",neutral
7052,I'm just gonna go flush myself down the toilet now...,Shelley,negative,744,10,1,8,"00:00:43,960","00:00:47,671",disgust
11164,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,Phoebe,negative,9,0,6,18,"00:05:02,927","00:05:08,724",fear
4670,"Okay, so if an eight comes up, we take it as a sign and we do it!",Chandler,positive,503,5,5,24,"00:12:06,434","00:12:10,228",joy
6951,"You tell, of course you do. Issac. Issac. Hey, Issac. Issac, hi! Y'know we haven’t actually met...",Ross,neutral,735,2,3,16,"00:08:38,142","00:08:47,317",neutral
11457,"I know! Hey, how’s Chandler doin’?",Monica,neutral,39,10,7,24,"00:11:44,704","00:11:50,917",neutral
6692,It was my quarter!,The Lurker,negative,699,8,5,24,"0:17:24,918","0:17:26,520",anger
2251,Hey!,Joey,positive,236,0,4,23,"00:09:08,214","00:09:09,256",joy
3579,"Yeah, come on in.",Jason,neutral,378,1,3,23,"0:15:23,006","0:15:25,220",neutral
8703,I'm sure they'll be here soon.,Monica,neutral,915,0,1,23,"0:15:39,229","0:15:40,751",neutral
10662,"Oh, Rachel and I have appointments to get our hair cut.",Phoebe,neutral,68,2,6,21,"00:02:21,141","00:02:23,475",neutral
2887,Hi guys. I haven’t seen you since this morning.,Chloe,neutral,305,6,3,15,"00:02:59,053","00:03:02,139",neutral
12933,"It's okay. Chandler, are you afraid of me or something?",Monica,neutral,195,3,6,7,"00:20:26,266","00:20:28,351",neutral
279,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,negative,27,0,5,24,"00:20:18,592","00:20:24,805",sadness
6301,Come on.,Ross,neutral,659,15,1,14,"0:15:47,072","0:15:48,746",neutral
9833,Hi!,Joey,positive,1024,0,6,3,"0:20:59,716","0:21:00,348",joy
5025,Fine ... mediocre porn,Joey,neutral,532,15,9,12,"00:11:31,232","00:11:33,817",neutral
971,Oh we-we didn’t.,Rachel,positive,104,1,8,23,"00:21:15,011","00:21:16,596",joy
8167,"Look, you guys have been to every play I’ve ever been in, have I ever had chemistry on stage?",Joey,neutral,858,11,4,13,"00:04:51,165","00:04:54,751",neutral
10167,We’re so sorry.,Whitney,negative,16,10,7,5,"00:20:23,388","00:20:25,348",sadness
12142,"Good luck, and uh, take care, huh?",Joey,negative,116,5,1,23,"00:07:28,489","00:07:34,703",sadness
6646,I’m gonna call the landlord and tell him that Monica is illegally subletting here grandmother’s apartment.,Mr. Treeger,negative,693,3,4,4,"00:04:49,789","00:04:54,835",anger
1,You must’ve had your hands full.,The Interviewer,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",neutral
2558,Nah.,Joey,neutral,271,10,5,15,"00:15:44,860","00:15:46,319",neutral
5547,Hold on.,Joey,neutral,592,6,5,12,"0:11:23,809","0:11:24,715",neutral
1135,"I mean that ain’t a pretty picture in the morning, y’know what I mean.",Rachel,negative,122,12,3,18,"0:07:34,046","0:07:36,643",disgust
5106,I love that idea!,Carol,positive,541,19,6,15,"0:15:08,658","0:15:10,008",joy
7393,"Hey Joey, I got some beer for you.",Janine,neutral,787,0,6,7,"00:16:55,889","00:16:57,932",neutral
8631,Oh.,Rachel,neutral,908,1,7,12,"0:02:27,939","0:02:28,837",neutral
10639,Oh my God! Chandler just left though!,Phoebe,negative,66,0,7,23,"00:14:35,291","00:14:38,334",surprise
13231,"Please, just a little bit off the back.",Monica,neutral,230,1,2,1,"00:10:30,254","00:10:33,048",neutral
4912,"So, what happens to the old guys?",Phoebe,negative,524,13,3,10,"0:08:01,329","0:08:03,875",sadness
739,"With a chick-chick here, and a chick-chick there.",Chandler,positive,73,1,3,21,"00:08:07,904","00:08:10,155",joy
3979,"Will you get me a white Zinfandel, and a glass of red for Janice.",Lorraine,neutral,429,8,1,14,"0:03:53,441","0:03:56,153",neutral
12212,Because I’m dumping him today.,Phoebe,neutral,123,5,8,5,"0:08:43,147","0:08:44,739",neutral
1368,"What do you mean, like, buy it together?",Chandler,neutral,148,8,1,12,"00:07:58,186","00:08:00,187",neutral
4673,Okay! Come on! Let's go! All right!,Chandler,positive,503,8,5,24,"0:12:13,483","0:12:14,011",joy
12921,I’m on time!,Ross,positive,193,1,8,12,"0:17:22,250","0:17:23,980",joy
9962,No!,Joey,negative,1036,15,5,22,"00:19:52,441","00:19:54,192",anger
11861,"No, but he told me, he thinks your a fox.",Monica,neutral,87,1,3,5,"00:02:35,238","00:02:38,448",neutral
6221,"And I will cook anything you want in here , and do anything in there!",Chandler,negative,654,2,6,17,"00:20:11,043","00:20:18,633",fear
10377,Just aim for the bump.,Carol,neutral,34,4,1,9,"00:14:38,335","00:14:39,961",neutral
8592,See? I’m doing it. I am totally doing it.  I lost it.,Phoebe,negative,904,7,4,15,"00:21:44,761","00:22:02,737",anger
11476,"Y’know, I’m not gonna play anymore,  would you, can you finish my set?",Ross,neutral,42,2,4,7,"00:21:29,037","00:21:33,708",neutral
9679,"Come on, please?! I’m boredddd! You let me do it once before.",Rachel,neutral,1010,10,3,25,"00:07:27,905","00:07:32,075",neutral
8647,Wow! This place is incredible!  Sting’s pen…that he gave to Phoebe.  Come on! Secret passageway!,Phoebe,positive,909,0,8,10,"00:15:11,827","00:15:22,629",joy
9389,Oh! I knew it! What happened?,Rachel,negative,981,2,6,14,"0:19:25,831","0:19:27,853",surprise
4056,We’re still on this side of the door.,Richard’s Date,neutral,438,8,3,13,"0:19:07,229","0:19:08,781",neutral
7917,Yeah. I realized it about a half-hour ago but I didn't want to say anything 'cause I didn't want to jinx it.,Joey,neutral,836,8,5,21,"00:03:05,643","00:03:10,856",neutral
8393,Because then we would be the guys who turned off free porn.,Chandler,neutral,886,6,4,17,"00:13:32,144","00:13:35,021",neutral
1310,"Hey Joey, you wanted to talk to me?",Tag,neutral,144,0,7,5,"00:15:04,820","00:15:06,362",neutral
6362,"Embryossss? As in, ""More than one?""",Phoebe,positive,665,4,4,12,"0:05:52,602","0:05:54,688",surprise
11693,Is he romantic with her?,Rachel,positive,68,7,5,12,"00:00:28,361","00:00:30,404",joy
1072,"I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don’t have to sell those cookies anymore.",Ross,neutral,116,1,3,10,"00:04:34,816","00:04:40,737",neutral
7858,Hey!,Ross,negative,832,0,4,10,"00:00:02,794","00:00:04,586",anger
11877,This works with any milk carton.,Mike,neutral,89,1,8,19,"00:04:10,793","00:04:13,837",neutral
3650,"Uh, Pheebs, about your mom...",Joey,neutral,389,3,4,2,"00:12:02,012","00:12:06,224",neutral
6420,"Y'know, I'm not just the person who needs to fluff the pillows and pay the bills as soon as they come in!",Monica,negative,670,9,1,21,"00:16:42,084","00:16:47,755",anger
10009,What are you talkin’ about? I never left you! You’ve always been my agent!,Joey,negative,2,2,6,4,"00:09:08,548","00:09:13,476",surprise
2704,Pathetic mess?,Joey,neutral,287,5,1,14,"00:02:38,241","00:02:40,450",neutral
7397,Is there something wrong?,Janine,neutral,787,4,6,7,"00:17:16,201","00:17:17,368",neutral
5044,"I mean why, of all people would you want to go out with Chip?!",Rachel,negative,536,0,4,2,"00:07:20,064","00:07:22,858",surprise
6441,"Ok, Caravaggio uses chiaroscuro here to highlight the anguish    of the central figure. Touch it, it's really bumpy! .",Joey,neutral,671,14,9,21,"00:17:02,980","00:17:10,611",neutral
10298,"Oh my God, who is it?!",Rachel,negative,27,5,8,1,"00:01:38,515","00:01:40,182",surprise
5272,"Ho-ho-ho,  fried stuff with cheese!",Joey,positive,560,3,7,16,"00:20:16,965","00:20:18,674",joy
7665,Let me see the earrings.,Chandler,neutral,812,10,5,19,"0:21:45,762","0:21:46,764",neutral
597,You are so bad!,Krista,positive,55,8,5,10,"0:11:32,441","0:11:34,331",joy
10482,Give it. Give it.,Monica,neutral,48,4,3,8,"00:06:21,631","00:06:23,090",neutral
4851,Yeah. We-we had sex and then we fell asleep.,Monica,neutral,519,2,7,12,"00:15:18,000","00:15:21,836",neutral
12753,Is that Mark?,Ross,neutral,174,11,3,15,"00:18:11,006","00:18:12,090",neutral
7978,I know.,Chandler,neutral,841,22,6,22,"00:21:21,280","00:21:22,321",neutral
5809,"...I accept all those flaws, why can't you accept me for this?",Chandler,negative,615,13,1,3,"00:14:46,176","00:14:49,470",anger
7314,"Disneyland, 1989, 'It's a Small World After All.'",Ross,neutral,775,9,1,7,"00:06:12,205","00:06:15,832",neutral
11002,"Yeah, but I love you more.",Monica,positive,103,2,8,24,"00:13:49,817","00:13:51,986",joy
131,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,negative,12,8,6,4,"00:10:21,704","00:10:24,706",surprise
7453,I can't believe you married him.,Joey/Drake,negative,792,11,9,19,"00:10:00,058","00:10:03,353",surprise
4654,Wo-women? You mean like old women?,Rachel,negative,501,5,7,5,"00:11:47,790","00:11:51,126",disgust
10676,Y-You're going?,Ross,positive,69,4,7,8,"00:19:45,309","00:19:49,437",joy
13362,"Yeah, about 300 guys I went to high school with.",Chandler,neutral,242,7,1,7,"00:04:19,175","00:04:22,636",neutral
5482,I can’t believe this!,Ross,negative,585,1,3,6,"00:19:49,771","00:19:51,564",sadness
1369,Yeah,Joey,neutral,148,9,1,12,"00:08:00,521","00:08:01,605",neutral
10571,Hey Mon! Want some pancakes?,Joey,positive,58,5,4,13,"00:05:14,731","00:05:18,150",joy
498,Yeah. What-what should I do?,Ross,negative,49,4,6,18,"0:13:17,963","0:13:19,590",fear
1583,"You said, you wanna come in for some lemonade?",Joey,neutral,170,1,3,6,"00:12:42,136","00:12:44,846",neutral
6250,So when are you getting married?,Megan,neutral,657,5,7,17,"0:04:29,269","0:04:30,688",neutral
9001,We’re at my stop. But would you like to have coffee?,Woman On Train,neutral,942,4,4,10,"00:20:17,174","00:20:20,426",neutral
9286,"Y’know, me and him do stuff all the time without you and you don’t get all upset.",Joey,neutral,971,0,6,23,"00:09:24,772","00:09:29,401",neutral
11955,"Uh, well yeah-yeah, I've got all of that going on.",Joey,neutral,97,6,5,22,"00:21:00,926","00:21:02,802",neutral
7205,Totally!,Monica,positive,764,0,2,3,"00:10:02,643","00:10:04,561",joy
796,About what?,Phoebe,neutral,81,5,1,7,"0:11:46,539","0:11:47,381",neutral
9902,Oh thank God!,Rachel,positive,1029,6,7,16,"00:04:16,214","00:04:18,048",joy
8468,"Hey Joey, come taste this.",Monica,neutral,892,8,8,21,"0:04:14,630","0:04:16,402",neutral
5120,They’re not true?,Rachel,negative,544,1,4,16,"0:20:49,623","0:20:50,465",fear
9977,"Come on, they were not that huge.",Rachel,neutral,1038,6,2,3,"00:00:21,021","00:00:22,855",neutral
7029,We’ll-we’ll take stuff from mine and whatever we can pass off as hers we’ll-we’ll put ‘em in there.,Ross,positive,740,13,7,13,"00:12:43,095","00:12:49,934",joy
1381,"Ooh, oh no! I have to go! I have a massage appointment.",Phoebe,negative,149,0,8,7,"00:13:57,294","00:14:01,172",sadness
9928,"Ehh, y'know after high school, you just kinda lose touch. Oh yeah! I ran into Richard Dorfman.",Chip,positive,1032,7,4,2,"00:15:22,630","00:15:29,010",joy
530,I can’t believe it!,Joey,negative,50,14,6,21,"0:14:41,881","0:14:42,215",surprise
8992,"Oh, then you do know it.  So um what kind of things do you write about?",Monica,neutral,941,10,3,12,"00:06:22,799","00:06:33,350",neutral
221,I got no sleep last night!,Phoebe,negative,21,6,1,4,"0:02:08,294","0:02:09,587",anger
5668,"Okay, I understand why",Phoebe,neutral,603,13,7,10,"00:21:09,184","00:21:10,935",neutral
13079,Oh my good God.,Chandler,negative,210,6,6,21,"0:17:29,177","0:17:30,779",disgust
6936,"Ross, thank you. Hey, do you guys wanna go see a movie?",Rachel,neutral,733,3,6,1,"00:20:44,076","00:20:48,621",neutral
830,"Sorry I'm late, but I left late.",Rachel,neutral,85,0,5,9,"00:06:08,785","00:06:10,660",neutral
2667,"Yeah, I wouldn’t know about that.",Joey,neutral,282,1,1,22,"00:08:40,561","00:08:42,395",neutral
7681,"Hello, Mrs. Chatracus.",Rachel,neutral,813,10,4,15,"0:18:23,227","0:18:26,861",neutral
12658,"I think that uh, yours is a question with many answers.",Phoebe,neutral,167,11,5,9,"00:07:37,540","00:07:42,210",neutral
4997,"All right, I’m-I’m not English.",Ross,negative,531,3,6,4,"00:20:14,213","00:20:16,964",sadness
11748,You listen to me!,Rachel,negative,72,4,8,23,"0:19:19,880","0:19:20,150",anger
5074,"You bought your sheets at a flea market? Ross come on, you gotta loosen the purse strings a little.",Phoebe,negative,538,9,6,11,"00:09:11,300","00:09:17,889",disgust
12512,"Oh, yeah. Go for it man, jump off the high dive, stare down the barrel of the gun, pee into the wind!",Joey,positive,153,10,3,4,"00:08:14,243","00:08:19,247",joy
95,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",neutral
5370,"Hey-hey, now he’s showing us his poking device.",Rachel,positive,571,14,3,8,"00:21:24,783","00:21:27,785",surprise
3664,"Hey, Pheebs! It’s Joey!",Joey,positive,392,0,4,23,"00:17:48,150","00:17:50,318",joy
12781,"No! Come on its late, we’re not gonna go down to the office.",Rachel,negative,175,20,7,12,"00:09:03,626","00:09:06,836",anger
3127,Then keep running.,Phoebe,neutral,329,10,6,6,"00:13:38,567","00:13:39,692",neutral
10896,"Rachel, how did this happen?",Monica,neutral,90,1,2,1,"00:11:09,418","00:11:11,044",neutral
1457,Really? Are you sure?,Phoebe,negative,156,8,8,2,"0:14:28,743","0:14:29,698",surprise
13422,"Come on over here, sweetheart.",Mr. Kaplan,neutral,249,6,3,11,"0:04:23,096","0:04:24,139",neutral
1927,‘Cause this is what will happen when you and I have babies!,Monica,neutral,202,14,6,5,"00:17:42,686","00:17:44,687",neutral
8026,So thanks for the warm welcome.,Doug,neutral,845,0,3,24,"00:04:02,492","00:04:04,034",neutral
12687,Phoebe!,Monica,negative,169,4,8,2,"0:11:58,634","0:11:59,385",surprise
1796,Jurassic Park,Rachel,neutral,188,6,4,2,"00:09:58,347","00:10:00,140",neutral
6994,Look at this.,Monica,neutral,738,2,7,13,"0:01:58,548","0:01:58,714",neutral
10250,Oh no! Why?,Phoebe,negative,23,3,3,6,"00:17:32,301","00:17:34,135",surprise
3018,"When we make plans, I expect you to show up.",Phoebe,negative,317,13,7,11,"00:04:13,920","00:04:16,338",anger
2950,"Y'know, hey! You’re the one who ended it, remember?",Ross,negative,312,2,3,25,"00:16:23,607","00:16:25,650",anger
5762,I went to the coffeehouse!,Chandler,neutral,612,8,6,20,"0:19:25,765","0:19:26,727",neutral
11816,"Rach, look!  Oh, hi! Where is my strong Ross Skywalker to come rescue me.  There he is.",Phoebe,positive,78,9,3,1,"00:08:42,021","00:08:46,316",joy
9415,"Ooh, if you take the northern route there's a man in Illinois with a beard of bees.",Phoebe,neutral,984,4,5,22,"00:05:14,063","00:05:17,649",neutral
5893,Uh-huh. Uh-huh.,Joey,neutral,625,3,7,17,"00:11:00,534","00:11:02,035",neutral
10200,The woman I love is having a baby today. I've been waiting for this just as much as you have.,Susan,negative,19,5,1,23,"00:14:32,329","00:14:35,665",anger
6266,It was unbelievable!,Chandler,positive,658,1,1,20,"00:01:49,400","00:01:50,734",surprise
10708,G,Phoebe,neutral,72,4,5,11,"0:11:08,627","0:11:10,799",neutral
5377,No!,Sick Bastard,negative,572,7,8,23,"0:09:29,905","0:09:30,772",anger
8784,I don’t know exactly.,Chandler,neutral,923,11,4,15,"0:06:55,415","0:06:55,840",neutral
2645,You don’t think I’ve tried? You think I,Chandler,positive,279,9,4,4,"00:03:30,126","00:03:32,002",joy
1297,But we really do need to find someone up here.,Mr. Franklin,neutral,141,2,8,5,"0:08:04,192","0:08:06,364",neutral
2940,"Yeah, it’s for our catering business!",Phoebe,positive,311,5,4,9,"00:00:24,149","00:00:25,774",joy
9700,"Doogie, shh!",Phoebe,negative,1012,6,5,3,"0:08:24,712","0:08:25,359",anger
186,"Uhh, the ball thing.",Joey,neutral,18,1,5,21,"0:05:09,642","0:05:11,603",neutral
10629,"That’s fine, actually I’m on the hiring committee, so there’ll be at least one friendly face.",Joanna,neutral,65,1,4,9,"00:04:19,842","00:04:23,845",neutral
10202,"No one has been waiting for this as much as I have, ok?",Ross,negative,19,7,1,23,"0:14:37,095","0:14:39,055",anger
2166,"Rachel, this is my friend Tom.",Danny,neutral,226,7,5,7,"00:19:00,055","00:19:01,681",neutral
9110,"No you didn't. You said you would, but you never did!",Ross,negative,951,0,5,10,"0:14:59,648","0:15:01,484",anger
6991,It is in the living room where there is also a light! And no one will kick you in the shin.,Monica,neutral,737,8,7,12,"00:04:38,194","00:04:43,573",neutral
3867,No it's not. It's small. It's tiny. It's petite. It's wee.,Chandler,neutral,416,2,1,24,"00:10:09,859","00:10:14,321",neutral
389,Hey!,Ross,positive,38,7,8,2,"0:20:49,081","0:20:49,582",surprise
9219,I knew it!,Ross,negative,963,2,3,19,"0:12:49,310","0:12:49,936",anger
3550,No!! You have been screwing us all day!,Monica,negative,374,4,8,3,"00:15:32,973","00:15:36,392",anger
3377,Where'd you get fruit at four in the morning?,Ross,positive,356,1,3,3,"00:01:15,158","00:01:19,286",surprise
280,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",Chandler,positive,27,1,5,24,"00:21:04,763","00:21:11,060",joy
12176,"Oh come on, by age seven kids have already seen orgies.  Was it just me?!",Chandler,negative,119,6,8,12,"00:17:02,396","00:17:11,571",surprise
11012,You are so great! I love you!,Chandler,positive,104,7,5,8,"00:20:54,086","00:20:56,754",joy
6350,"What can I do? One person wants to break-up, you break-up.",Ross,negative,664,1,3,15,"00:16:41,250","00:16:45,336",sadness
13405,I gave you my,Tour Guide,neutral,246,9,4,11,"0:11:06,791","0:11:07,323",neutral
9194,"Hand me those tomatoes, I’m gonna show you what it should taste like! Come on, hand me them.",Monica,negative,960,9,4,9,"00:09:49,130","00:09:53,842",anger
13615,"Oh, I so can't believe this! My uterus is an inhospitable environment? I was trying so hard to be a good hostess!",Monica,negative,268,1,9,22,"00:02:55,925","00:03:07,895",surprise
10990,Ooohhhh!!,Ross and Rachel,positive,99,3,3,20,"0:09:10,633","0:09:10,717",surprise
5080,Now that Rachel's gone?,Chandler,neutral,539,5,9,12,"00:01:28,004","00:01:29,296",neutral
12667,"You be Mr. Gonzalez, and I’ll be uh, Mr. Wong.",Joey,neutral,168,3,4,22,"00:15:41,190","00:15:45,026",neutral
13525,"All right, I’ve heard enough. I’ve made my decision.",Monica,neutral,259,8,6,12,"00:17:01,687","00:17:03,730",neutral
3723,"Uh, I just liked it better before it was better...",Rachel,negative,400,8,1,12,"00:16:30,155","00:16:34,450",sadness
11820,I told you not to go down there!,Monica,negative,80,1,4,4,"0:06:55,749","0:06:55,892",anger
